,sofifa_id,height_cm,weight_kg,player_positions,weak_foot,work_rate,body_type,attacking_finishing,attacking_heading_accuracy,attacking_volleys,skill_dribbling,skill_long_passing,movement_reactions,movement_balance,power_stamina,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_sliding_tackle,F,Mid,D,Gk
1110,193198,187,73,2,2,Medium/Medium,Normal,58,73,69,64,76,72,57,90,81,83,75,65,70,74,71,70,71.5,74.0,75.42857142857143,10.6
1115,200054,185,75,2,3,Medium/Medium,Lean,50,70,60,74,79,69,63,75,65,71,76,60,78,59,76,77,68.5,73.61538461538461,74.85714285714286,7.2
1121,205966,168,71,2,2,Medium/Medium,Normal,58,44,62,88,57,76,92,78,56,55,42,74,78,58,69,25,72.0,72.15384615384616,54.57142857142857,13.0
1126,211454,181,74,2,3,Medium/High,Lean,57,61,39,68,77,75,62,88,67,73,76,63,70,62,77,72,69.0,73.23076923076923,74.28571428571429,11.0
1132,137351,176,78,2,3,Medium/High,Normal,52,52,58,74,81,80,74,67,44,75,80,58,78,62,84,72,66.0,73.53846153846153,72.71428571428571,8.2
1144,158438,179,70,2,3,Medium/High,Lean,51,61,55,64,69,74,66,90,55,88,79,59,66,50,71,74,64.5,69.92307692307692,74.85714285714286,11.2
1145,161754,186,82,2,3,Low/High,Normal,59,83,59,66,76,73,50,71,54,84,76,60,65,61,81,73,69.0,71.3076923076923,74.14285714285714,11.6
1162,177358,185,75,2,3,Low/High,Lean,58,69,56,68,72,74,67,76,56,81,77,63,67,56,73,75,68.5,72.23076923076923,74.85714285714286,10.0
1182,185174,182,77,2,3,Medium/Medium,Normal,56,60,69,79,74,76,75,72,72,70,74,74,78,68,74,72,73.0,76.53846153846153,73.85714285714286,5.0
1184,186132,177,81,2,4,Medium/Medium,Normal,60,61,69,75,83,76,76,72,71,74,74,71,76,53,77,73,71.5,75.38461538461539,72.28571428571429,9.4
1192,189280,174,73,2,3,Medium/Medium,Lean,53,60,56,71,79,77,80,83,60,82,76,66,78,58,78,73,69.5,75.53846153846153,75.85714285714286,10.2
1193,189410,179,76,2,4,High/High,Normal,38,61,54,71,77,76,74,90,77,77,74,70,76,73,79,67,69.0,75.53846153846153,74.42857142857143,11.8
1194,189506,174,72,2,3,Low/High,Normal,59,67,56,70,78,78,75,62,68,83,79,65,81,61,78,77,70.0,74.84615384615384,74.85714285714286,9.4
1197,191053,177,76,2,3,Medium/High,Stocky,45,58,60,76,76,76,81,86,72,82,80,66,72,46,74,78,70.0,75.46153846153847,77.71428571428571,11.0
1204,193839,178,72,2,2,Medium/Medium,Normal,60,56,57,79,74,72,86,88,69,70,74,74,72,77,80,72,73.0,76.6923076923077,74.42857142857143,8.6
1216,199986,178,76,2,4,Medium/High,Normal,40,73,48,63,75,75,67,70,72,84,77,57,57,47,65,77,65.5,69.61538461538461,75.57142857142857,11.8
1222,203886,174,74,2,2,High/High,Normal,59,33,71,74,77,77,87,81,75,79,74,72,76,55,78,70,71.5,76.07692307692308,72.85714285714286,12.2
1226,205633,182,78,2,3,High/High,Normal,58,58,67,80,76,73,78,69,74,65,72,75,77,68,75,70,74.0,76.53846153846153,70.85714285714286,8.4
1232,207894,188,87,2,3,Medium/Medium,Normal,30,69,35,59,79,77,44,73,62,83,80,55,66,47,73,77,60.5,66.92307692307692,74.28571428571429,11.0
1233,208295,190,84,2,3,Medium/High,Lean,49,73,47,67,78,77,62,71,55,81,78,51,73,47,79,72,65.5,71.61538461538461,74.42857142857143,10.0
1245,230183,186,73,2,5,High/High,Normal,54,77,71,71,67,72,66,89,77,94,67,57,56,77,77,75,71.0,72.46153846153847,77.42857142857143,10.2
1252,245325,187,85,2,3,High/High,Normal,56,62,45,72,77,81,55,76,72,77,76,52,72,67,67,76,69.0,73.3076923076923,76.42857142857143,9.6
1258,234569,184,73,2,2,Medium/High,Lean,35,67,36,64,73,74,66,77,43,75,78,61,66,38,76,77,63.5,69.07692307692308,74.0,11.6
1259,237629,186,82,2,3,Medium/Medium,Normal,54,32,39,74,77,75,73,77,62,54,71,66,75,38,74,63,68.0,74.46153846153847,70.28571428571429,9.8
1260,225439,183,76,2,3,Medium/High,Lean,59,65,55,76,76,74,74,76,69,67,75,62,76,52,69,69,70.0,74.15384615384616,73.71428571428571,13.2
1264,232999,176,68,2,3,High/High,Normal,48,65,33,70,72,77,84,86,46,76,74,65,71,51,75,69,66.5,72.53846153846153,74.0,9.2
1267,238744,185,84,2,3,Medium/Medium,Normal,59,82,49,74,69,78,69,83,68,82,74,75,75,58,68,73,73.5,74.6923076923077,76.71428571428571,9.6
1272,222501,185,80,2,3,Medium/High,Lean,58,66,40,75,70,76,66,85,52,68,76,76,66,27,68,72,71.5,74.46153846153847,75.57142857142857,12.6
1285,222077,186,75,2,3,Medium/Medium,Lean,54,68,64,75,75,68,54,73,75,70,75,54,75,60,66,75,68.5,73.3076923076923,74.28571428571429,11.8
1291,234725,187,82,2,3,Medium/Medium,Normal,53,66,35,74,68,75,59,81,63,84,75,68,70,42,80,68,70.0,73.3076923076923,75.28571428571429,10.4
1294,235844,185,73,2,4,Medium/Medium,Lean,50,77,63,64,74,73,66,73,40,80,75,55,63,65,71,76,66.0,69.53846153846153,75.57142857142857,8.2
1298,240679,183,77,2,2,Medium/Medium,Normal,60,72,64,68,75,76,69,82,75,69,77,67,73,74,74,72,71.5,74.23076923076923,75.57142857142857,11.6
1299,206115,185,79,2,4,Medium/High,Lean,48,65,35,66,69,74,60,78,61,80,75,66,69,49,75,77,67.0,70.61538461538461,73.0,10.4
1306,229476,189,75,2,3,Medium/Medium,Normal,42,74,38,66,69,74,57,82,45,74,77,52,57,48,71,75,61.5,67.0,74.14285714285714,12.2
1318,227222,178,70,2,2,High/Medium,Normal,40,74,32,66,64,68,73,83,45,62,77,63,56,44,69,79,64.5,68.76923076923077,76.28571428571429,11.6
1322,230042,184,74,2,3,Medium/Medium,Normal,56,58,62,79,79,70,68,70,67,62,69,69,76,42,72,67,72.0,75.38461538461539,71.0,9.2
1323,232244,168,70,2,3,Medium/High,Normal,36,47,47,62,67,74,88,92,64,90,83,31,60,48,65,78,56.5,66.6923076923077,75.42857142857143,8.8
1332,216778,194,84,2,3,Medium/High,Normal,43,74,51,64,60,70,51,69,58,81,74,48,48,38,69,74,62.5,64.53846153846153,72.28571428571429,11.8
1339,229391,190,83,2,4,Low/Medium,Normal,38,75,54,68,73,74,44,71,53,78,78,47,68,56,79,67,62.5,68.3076923076923,72.14285714285714,9.2
1341,236639,186,83,2,4,Medium/Medium,Normal,49,65,48,76,78,72,56,80,65,79,71,62,77,56,75,66,69.0,73.6923076923077,71.57142857142857,6.8
1348,212755,181,75,2,2,Medium/High,Normal,54,71,54,69,82,72,74,82,57,80,76,69,64,53,76,73,69.5,72.3076923076923,74.14285714285714,10.6
1353,222994,176,76,2,2,Medium/High,Normal,36,55,41,71,73,73,78,83,54,85,76,55,66,38,71,75,64.5,70.53846153846153,74.57142857142857,11.4
1367,211999,188,84,2,3,Medium/Medium,Normal,34,74,29,57,68,72,57,75,51,79,81,43,59,46,67,75,58.5,65.46153846153847,73.28571428571429,10.6
1368,212212,185,81,2,3,Medium/Medium,Normal,57,69,45,69,68,75,71,79,63,87,74,46,69,47,69,73,67.0,70.53846153846153,74.14285714285714,8.6
1369,212491,179,70,2,2,High/Medium,Lean,55,61,61,83,70,74,79,78,71,65,69,65,71,49,74,74,73.0,75.23076923076923,74.57142857142857,7.8
1370,212722,172,75,2,3,High/Medium,Normal,40,65,60,75,53,75,77,86,51,76,68,66,68,38,72,72,69.0,71.46153846153847,75.0,10.2
1371,213814,171,75,2,4,Medium/Medium,Lean,60,40,72,83,67,72,77,74,70,42,34,74,68,69,74,36,73.5,72.0,56.857142857142854,8.4
1375,222715,176,73,2,3,Medium/High,Normal,44,64,49,69,69,73,70,78,52,80,80,59,53,48,74,75,64.5,69.38461538461539,75.85714285714286,10.8
1388,199576,183,83,2,3,Low/High,Normal,25,70,35,59,71,70,59,69,43,87,78,48,60,54,74,74,57.0,65.6923076923077,72.14285714285714,12.6
1405,200773,180,76,2,3,Medium/High,Normal,32,68,41,65,69,74,65,90,69,90,77,52,57,36,68,76,62.0,67.46153846153847,75.42857142857143,11.8
1408,202934,173,73,2,3,Medium/Medium,Normal,55,63,68,72,72,73,91,87,77,69,78,68,74,60,70,74,72.0,75.38461538461539,75.71428571428571,11.2
